2026-08-24T13:20:21.488-06:00 | [RELEASE] | evento_064 | tecla='d' | delta_ms=28
2026-08-24T13:20:21.570-06:00 | [RELEASE] | evento_065 | tecla='o' | delta_ms=81
2026-08-24T13:20:21.670-06:00 | [PRESS] | evento_066 | tecla=Key.space | delta_ms=100
2026-08-24T13:20:21.739-06:00 | [RELEASE] | evento_067 | tecla=Key.space | delta_ms=68
2026-08-24T13:20:21.927-06:00 | [PRESS] | evento_068 | tecla='g' | delta_ms=188
2026-08-24T13:20:22.020-06:00 | [PRESS] | evento_069 | tecla='r' | delta_ms=93
2026-08-24T13:20:22.075-06:00 | [RELEASE] | evento_070 | tecla='g' | delta_ms=54
2026-08-24T13:20:22.140-06:00 | [RELEASE] | evento_071 | tecla='r' | delta_ms=65
2026-08-24T13:20:22.251-06:00 | [PRESS] | evento_072 | tecla='a' | delta_ms=110
2026-08-24T13:20:22.361-06:00 | [RELEASE] | evento_073 | tecla='a' | delta_ms=110
2026-08-24T13:20:22.391-06:00 | [PRESS] | evento_074 | tecla='c' | delta_ms=30
2026-08-24T13:20:22.488-06:00 | [RELEASE] | evento_075 | tecla='c' | delta_ms=96
2026-08-24T13:20:22.497-06:00 | [PRESS] | evento_076 | tecla='i' | delta_ms=9
2026-08-24T13:20:22.520-06:00 | [PRESS] | evento_077 | tecla='a' | delta_ms=23
2026-08-24T13:20:22.581-06:00 | [RELEASE] | evento_078 | tecla='i' | delta_ms=60
2026-08-24T13:20:22.610-06:00 | [PRESS] | evento_079 | tecla='s' | delta_ms=29
2026-08-24T13:20:22.668-06:00 | [RELEASE] | evento_080 | tecla='a' | delta_ms=58
2026-08-24T13:20:22.671-06:00 | [PRESS] | evento_081 | tecla=Key.space | delta_ms=2
2026-08-24T13:20:22.714-06:00 | [RELEASE] | evento_082 | tecla='s' | delta_ms=42
2026-08-24T13:20:22.764-06:00 | [RELEASE] | evento_083 | tecla=Key.space | delta_ms=50
2026-08-24T13:20:22.768-06:00 | [PRESS] | evento_084 | tecla=Key.enter | delta_ms=3
2026-08-24T13:20:22.894-06:00 | [RELEASE] | evento_085 | tecla=Key.enter | delta_ms=126
2026-08-24T13:20:53.616-06:00 | [PRESS] | evento_086 | tecla=Key.cmd | delta_ms=30721
2026-08-24T13:20:53.886-06:00 | [PRESS] | evento_087 | tecla='s' | delta_ms=269
2026-08-24T13:20:53.904-06:00 | [PRESS] | evento_088 | tecla=Key.shift | delta_ms=18
2026-08-24T13:20:54.004-06:00 | [RELEASE] | evento_089 | tecla=Key.cmd | delta_ms=99
2026-08-24T13:20:54.022-06:00 | [RELEASE] | evento_090 | tecla='S' | delta_ms=17
2026-08-24T13:20:54.028-06:00 | [RELEASE] | evento_091 | tecla=Key.shift | delta_ms=6
2026-08-24T13:20:59.022-06:00 | [PRESS] | evento_092 | tecla=Key.cmd | delta_ms=4993
2026-08-24T13:20:59.147-06:00 | [PRESS] | evento_093 | tecla=Key.shift | delta_ms=124
2026-08-24T13:20:59.228-06:00 | [PRESS] | evento_094 | tecla='S' | delta_ms=81
2026-08-24T13:20:59.314-06:00 | [RELEASE] | evento_095 | tecla=Key.cmd | delta_ms=86
2026-08-24T13:20:59.331-06:00 | [RELEASE] | evento_096 | tecla='S' | delta_ms=16
2026-08-24T13:20:59.334-06:00 | [RELEASE] | evento_097 | tecla=Key.shift | delta_ms=2
2026-08-24T13:21:07.503-06:00 | [PRESS] | evento_098 | tecla='p' | delta_ms=8169
2026-08-24T13:21:07.584-06:00 | [PRESS] | evento_099 | tecla='o' | delta_ms=81
2026-08-24T13:21:07.659-06:00 | [RELEASE] | evento_100 | tecla='p' | delta_ms=74
2026-08-24T13:21:07.679-06:00 | [RELEASE] | evento_101 | tecla='o' | delta_ms=19
2026-08-24T13:21:07.681-06:00 | [PRESS] | evento_102 | tecla='r' | delta_ms=2
2026-08-24T13:21:07.747-06:00 | [RELEASE] | evento_103 | tecla='r' | delta_ms=66
2026-08-24T13:21:07.824-06:00 | [PRESS] | evento_104 | tecla=Key.space | delta_ms=76
2026-08-24T13:21:07.902-06:00 | [RELEASE] | evento_105 | tecla=Key.space | delta_ms=78
2026-08-24T13:21:07.920-06:00 | [PRESS] | evento_106 | tecla='q' | delta_ms=17
